,1990,2000,2010,2015,2020,2025
Djibouti,0.2415875754961173,0.2415875754961173,0.2415875754961173,0.24374460742018983,0.25366695427092323,0.2558239861949957
Dominica,78.44,78.06666666666666,77.81333333333333,77.06666666666666,76.75999999999999,76.46666666666667
Dominican Republic,44.13475470916994,44.83129786793625,45.255226661146764,45.84620161457255,46.043262264541504,46.83721316237188
Ecuador,58.91532452890964,55.28466741826381,52.457601868255765,51.61539700434853,50.17349814784989,49.56643581897246
Egypt,0.003927871816766287,0.003927871816766287,0.0040986488522778645,0.0040986488522778645,0.0040986488522778645,0.004128785976191672
El Salvador,35.49758687258687,34.064189189189186,32.63079150579151,32.64913127413128,32.850386100386096,33.052123552123554
Equatorial Guinea,96.22638146167559,93.2470588235294,90.28805704099821,88.77789661319072,87.28770053475937,85.79750445632797
Eritrea,13.649152853385527,13.154866898215115,12.652035970729797,12.402633439261104,12.160527689836815,11.899995213660542
Estonia,52.038216560509554,52.81646614767633,55.10780844538806,55.703243616287104,57.16654970760233,57.689590643274855
Eswatini,28.230813953488372,27.358720930232554,26.486627906976747,26.050581395348836,25.61453488372093,25.17848837209302
Ethiopia,25.285812751811477,24.640675642233063,23.996186327665693,23.735281196208124,23.71733181589856,23.701487321032154
Falkland Islands (Malvinas),0.0,0.0,0.0,0.0,0.0,0.0
Faroe Islands,0.05730659025787967,0.05730659025787967,0.05730659025787967,0.05730659025787967,0.05856515373352855,0.05839416058394161
Fiji,51.433497536945815,55.088669950738925,58.40777230432403,59.67597153804051,60.943623426382054,62.21127531472359
Finland,71.818936931613,73.6913227617453,73.18854886475815,73.73564542134184,74.16924392972297,74.24392972297164
France,26.36394516825369,27.919870992956113,29.985919274157762,30.74748382360193,31.682546291984217,33.017905186009834
French Guiana,97.85619655546188,97.68395599081127,97.0943578591277,96.84820673831663,96.64110614660065,96.38872116894095
French Polynesia,39.461748633879786,42.79746470757706,43.059636992221265,43.059636992221265,43.059636992221265,43.059636992221265
Gabon,92.26619319284356,91.98439864943532,91.91314471999068,91.67784375363837,91.54721154965654,91.4165793456747
Gambia,40.981225296442695,35.362648221343875,29.64426877470356,26.785573122529645,23.926877470355727,20.698616600790515
Georgia,43.60915239602821,43.728594042308245,44.6179306375018,44.6179306375018,44.6179306375018,44.6179306375018
Germany,32.36616733022083,32.53761283851554,32.73087184783544,32.77360545777675,32.79258135607773,32.857510803308244
Ghana,25.51709589522721,27.086929770589784,28.65676364595236,29.441680583633644,30.227527435580775,31.01246852104969
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0
